file,rel_file,x_col,y_col,y_raw_col,status,detected,plot,debug_csv,window,model_improve_min,model_contrast_min,depth_min,depth_bilateral_min,plateau_pad_points,plateau_pad_x_frac,start_idx,end_idx,start_x,end_x,x_span,mean_y,min_y,score
detrended_csv_per_star0/lc_star0052_det.csv_corrected.csv,lc_star0052_det.csv_corrected.csv,time,flux_corrected,flux,ok,True,output/plots/lc_star0052_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,26.0,72.0,2459730.155,2459730.2531712963,0.09817129652947187,0.9987798335516233,0.9982389158639905,0.8354487373600675
detrended_csv_per_star0/lc_star0044_det.csv_corrected.csv,lc_star0044_det.csv_corrected.csv,time,flux_corrected,flux,ok,True,output/plots/lc_star0044_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,8.0,60.0,2459730.102511574,2459730.2276157406,0.1251041665673256,0.9995967778897172,0.9990675779822861,0.6020134485277874
detrended_csv_per_star0/lc_star0068_det.csv_corrected.csv,lc_star0068_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0068_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0105_det.csv_corrected.csv,lc_star0105_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0105_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0113_det.csv_corrected.csv,lc_star0113_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0113_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0022_det.csv_corrected.csv,lc_star0022_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0022_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0094_det.csv_corrected.csv,lc_star0094_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0094_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0121_det.csv_corrected.csv,lc_star0121_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0121_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0082_det.csv_corrected.csv,lc_star0082_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0082_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0034_det.csv_corrected.csv,lc_star0034_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0034_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0076_det.csv_corrected.csv,lc_star0076_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0076_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0018_det.csv_corrected.csv,lc_star0018_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0018_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0060_det.csv_corrected.csv,lc_star0060_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0060_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0107_det.csv_corrected.csv,lc_star0107_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0107_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0111_det.csv_corrected.csv,lc_star0111_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0111_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0012_det.csv_corrected.csv,lc_star0012_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0012_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0088_det.csv_corrected.csv,lc_star0088_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0088_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0050_det.csv_corrected.csv,lc_star0050_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0050_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0028_det.csv_corrected.csv,lc_star0028_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0028_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0046_det.csv_corrected.csv,lc_star0046_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0046_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
detrended_csv_per_star0/lc_star0074_det.csv_corrected.csv,lc_star0074_det.csv_corrected.csv,time,flux_corrected,flux,ok,False,output/plots/lc_star0074_det.csv_corrected.png,,20,0.1,0.0,0.15,0.08,8,0.02,,,,,,,,
