time,flux,flux_corrected
2459730.083090278,0.9902031021941938,0.9941062602443188
2459730.0852314816,1.0031411813264917,0.9942014418771058
2459730.087361112,0.994858908102777,0.9943008694095105
2459730.089490741,0.9953097331892452,0.9944058113028794
2459730.0916203703,1.003230076167632,0.9945173623268991
2459730.093738426,1.0021034266424809,0.9946362982732743
2459730.0980092594,0.9508998632167024,0.9949105597329825
2459730.1003819443,0.9895599733285294,0.9950894835633725
2459730.102511574,0.9905706823617269,0.9952664511506945
2459730.118657408,0.99483975429334,0.9969158197050482
2459730.120787037,1.0031975057574116,0.9971467376449644
2459730.122916667,1.0008838984915502,0.9973744031736195
2459730.1250462965,1.0001378288987803,0.9975972642419427
2459730.1271759258,0.999062573562338,0.9978142086179494
2459730.1293055555,1.0003694447949192,0.9980243757595807
2459730.131493056,1.0,0.9982324652369633
2459730.133622685,0.9956348564407878,0.9984269582196638
2459730.1357523147,0.9999263742968908,0.9986130441534832
2459730.1378819444,0.998517930187911,0.9987901116251513
2459730.140011574,1.0025273617643502,0.9989575556242406
2459730.142141204,0.9994362007406826,0.9991147624673821
2459730.144259259,1.001023720840262,0.9992605539151035
2459730.146388889,1.0025805068296716,0.9993961538998909
2459730.148530093,1.0044697781019356,0.9995211278142441
2459730.1506597223,1.0007399455014354,0.9996341450019307
2459730.1528703705,1.0013596725268594,0.9997399531126056
2459730.155,0.9997081221110068,0.9998312998500686
2459730.157129629,1.003444553258375,0.999912802158672
2459730.1592592592,0.996183658104736,0.9999850151125819
2459730.161388889,1.0016150478427497,1.000048593290142
2459730.163599537,1.0007504787781372,1.0001059014025877
2459730.1657291665,1.0021729248264548,1.0001531524754164
2459730.167858796,0.999951203308192,1.0001930433786974
2459730.169988426,1.0005705215695084,1.0002261214245145
2459730.172118056,1.0015391864619256,1.000252889701681
2459730.174236112,0.9980878466152135,1.0002737519385327
2459730.1763773146,1.0002200102558931,1.000289526447471
2459730.1785069443,1.0012172947396345,1.000300248502338
2459730.180636574,1.0038761040578954,1.000306296947695
2459730.182766204,0.9993102955203784,1.000308034504581
2459730.184895833,1.0008450207263233,1.0003060580634546
2459730.187152778,1.0016977683230632,1.0003005388130468
2459730.1892824075,0.998549268808436,1.0002927236778696
2459730.1914236112,1.0010860292577923,1.0002829940345173
2459730.193553241,1.0010101993440728,1.0002720128682476
2459730.195671296,0.9973978228864188,1.0002603951138944
2459730.1978125,1.0013856023304375,1.0002485512518824
2459730.199930556,0.9992092858120244,1.0002371763689943
2459730.2020601854,0.9980712772652274,1.000226533141852
2459730.2041898146,0.9989712169016992,1.000217065069176
2459730.2063194443,1.002070404171551,1.0002089554468903
2459730.208449074,0.9957698744946656,1.0002023141856107
2459730.210578704,0.999356202727166,1.000197291024545
2459730.212708333,1.0000593975442515,1.0001937555785325
2459730.2148379628,0.998407275639796,1.0001914476011216
2459730.2169675925,1.0027274385022098,1.000190068079558
2459730.219097222,0.9996536083850148,1.0001892350842745
2459730.221226852,0.9992712884179444,1.0001887203975848
2459730.2233564816,1.0003174431714594,1.0001882930514903
2459730.225486111,1.0014403227484854,1.000187657962254
2459730.2276157406,0.9995365037287948,1.0001865304653101
2459730.2297453703,1.0003538463714767,1.000184714168011
2459730.231875,0.9996649368620568,1.000181985276452
2459730.234016204,0.9997769999057065,1.0001780876478215
2459730.236145833,0.9999901402620188,1.0001727802732994
2459730.2382754628,0.9990118028074798,1.0001657193784403
2459730.2403935185,1.0006771314852447,1.0001565826819778
2459730.242523148,0.9998202391350084,1.0001448071848635
2459730.244652778,1.004802084363873,1.0001299697174026
2459730.246770833,1.0030927959370106,1.0001117641655064
2459730.248912037,1.0039467530675363,1.0000898156863904
2459730.2510416666,1.0006983437924537,1.0000647517731913
2459730.2531712963,0.9992448069651304,1.0000370792400126
2459730.255300926,0.9974861073955664,1.0000075045605108
2459730.257430556,1.000767162097138,0.9999766409342036
2459730.259560185,0.9991642746185596,0.9999449056154325
2459730.2616898147,1.0011696676563884,0.9999127166516181
2459730.2638194445,0.9995220928006956,0.999880468916256
2459730.265949074,0.9993591030714072,0.9998486232212079
2459730.268078704,0.9983925442433312,0.9998176341901334
2459730.270208333,0.99827311787883,0.9997879003781626
2459730.272337963,0.9965602720171484,0.9997596785829436
2459730.2744675926,1.0002781052172145,0.9997330578039899
2459730.2765972223,1.0011587875432926,0.999707885027913
2459730.278738426,0.9970280297866436,0.9996839038499664
2459730.280868056,0.9997969300156504,0.9996613181424826
2459730.282997685,1.000630533767621,0.9996397805221412
2459730.2851157407,0.9999825787959188,0.9996191894456777
2459730.2872453704,0.9973582111402371,0.9995991905157487
2459730.289375,1.002828978114186,0.9995797746228553
2459730.2915046294,0.999377596574369,0.9995607405722174
2459730.293634259,0.9984266944516896,0.9995420678747385
2459730.295763889,0.9981189847327876,0.9995237792314063
2459730.2978819446,1.0012707198401016,0.9995058678901322
2459730.3000115743,0.9993362420815478,0.9994879768342279
2459730.3021527776,1.000524700190371,0.9994700148813925
2459730.3042708333,0.9973330977514742,0.9994522355841972
2459730.306400463,0.9987897264680408,0.9994343314315691
2459730.3085300927,1.002246425937504,0.999416239501027
