JD,star0019
2459730.0852314816,1.0086680243281696
2459730.0873611113,0.9941280877386444
2459730.0894907406,1.0059521909638216
2459730.0916203703,0.9980615740113608
2459730.093738426,1.0007208516025072
2459730.102511574,1.0050168329069031
2459730.120787037,1.0020472952425463
2459730.122916667,1.0023813982117429
2459730.1250462965,0.997291732196952
2459730.1271759258,0.997941082305858
2459730.1293055555,1.0005815890248846
2459730.1314930557,0.9987692315818382
2459730.133622685,1.0001835306588074
2459730.1357523147,0.9999467825027726
2459730.1378819444,1.000362912064437
2459730.140011574,0.9990342944921201
2459730.142141204,1.00070991800387
2459730.144259259,1.0
2459730.146388889,1.001356450461065
2459730.1485300926,0.9994653985454505
2459730.1506597223,0.9997391115675335
2459730.1528703705,0.9996992626032938
2459730.155,1.0015178274284737
2459730.1571296295,1.0027201032754944
2459730.1592592592,1.000858949210384
2459730.161388889,0.9999556892932828
2459730.163599537,1.0007548012900491
2459730.1657291665,0.9993010217502352
2459730.167858796,0.9987498683273225
2459730.169988426,0.999330375606197
2459730.1721180556,0.9995809079764149
2459730.1742361113,1.0006443292329952
2459730.1763773146,0.9991049417424308
2459730.1785069443,0.9997032155419828
2459730.180636574,0.9994504731956327
2459730.182766204,0.9987324158403603
2459730.1848958335,1.000209932380748
2459730.187152778,0.9987660910284486
2459730.1892824075,1.000766147988473
2459730.1914236112,0.9998453676182991
2459730.193553241,1.000188694553123
2459730.195671296,0.998640401467164
2459730.1978125,0.9999905234153773
2459730.1999305557,1.0002155782276367
2459730.2020601854,1.0016697293997556
2459730.2041898146,1.0006078482082312
2459730.2063194443,1.0016255597513999
2459730.208449074,1.001221183857363
2459730.210578704,1.0005071608999594
2459730.2127083335,0.999899507772321
2459730.2148379628,0.9995695447110022
2459730.2169675925,1.0023531796075145
2459730.219097222,1.0002693630930704
2459730.221226852,1.0000256755305221
2459730.2233564816,0.9981644127774522
2459730.225486111,0.9994224428023142
2459730.2276157406,1.0007620938341864
2459730.2297453703,1.001057964219196
2459730.231875,0.9993933259039088
2459730.234016204,0.9991082471463806
2459730.2361458335,1.0009878390911617
2459730.2382754628,1.0013127484717563
2459730.2403935185,1.002008905825436
2459730.242523148,1.0016015907385323
2459730.244652778,1.0014149953810445
2459730.246770833,0.9995365903126214
2459730.248912037,0.9986616275341681
2459730.2510416666,1.000828349632272
2459730.2531712963,1.0010564362277647
2459730.255300926,0.9995337210583116
2459730.2574305558,0.9981146815690058
2459730.259560185,1.0012071579866828
2459730.2616898147,1.0003296424364039
2459730.2638194445,1.0004622767422684
2459730.265949074,0.9979173890559367
2459730.268078704,0.9988567288701587
2459730.270208333,1.0006693073811173
2459730.272337963,0.9997661419617654
2459730.2744675926,0.9977338784278869
2459730.2765972223,1.0001720978728985
2459730.278738426,0.9970719075242949
2459730.2808680558,0.9995847849065429
2459730.282997685,0.999127780625218
2459730.2851157407,1.0000062847181017
2459730.2872453704,1.0006755669342775
2459730.289375,1.001490123784416
2459730.2915046294,0.9997768804237288
2459730.293634259,0.9982348227598825
2459730.295763889,0.9987803343077418
2459730.2978819446,1.0000222218884185
2459730.3000115743,1.0001151486164381
2459730.3021527776,0.9982654402938422
2459730.3042708333,0.9992812683678964
2459730.306400463,0.9998231147920982
2459730.3085300927,1.0005787342794816
